tests_total,deaths_total,tests_1M_pop,continent,cases_recovered,cases_total,time,deaths_new,cases_active,population,deaths_1M_pop,cases_new,day,cases_1M_pop,country,cases_critical
14402039,8530,1273880,North-America,1106657,1115249,2024-03-28T13:30:04+00:00,,62,11305652,754,,2024-03-28,98645,Cuba,
11660345,38746,1703584,Europe,1292914,1339762,2024-03-28T13:30:04+00:00,,8102,6844597,5661,+14,2024-03-28,195740,Bulgaria,35
,74,,Asia,4772739,4772813,2024-03-28T13:30:03+00:00,,0,25990679,3,,2024-03-28,183636,DPRK,
17201885,14122,1669945,Asia,1731007,1746997,2024-03-28T13:30:03+00:00,,1868,10300869,1371,,2024-03-28,169597,Jordan,59
26795090,102595,441027,Africa,3912506,4076463,2024-03-28T13:30:03+00:00,,61362,60756135,1689,+614,2024-03-28,67095,South-Africa,192
11575012,13848,602707,Asia,1383020,1411831,2024-03-28T13:30:03+00:00,,14963,19205043,721,+63,2024-03-28,73514,Kazakhstan,24
32603805,112418,754855,Europe,5445577,5557995,2024-03-28T13:30:03+00:00,,0,43192122,2603,,2024-03-28,128681,Ukraine,
471036328,121760,10082298,Europe,13762417,13914811,2024-03-28T13:30:03+00:00,+8,30634,46719142,2606,+702,2024-03-28,297840,Spain,231
30742304,19005,1286903,Asia,10222518,10241523,2024-03-28T13:30:03+00:00,,0,23888595,796,,2024-03-28,428720,Taiwan,
30589153,30664,133292,Asia,1538689,1581936,2024-03-28T13:30:03+00:00,,12583,229488994,134,,2024-03-28,6893,Pakistan,
100414883,74694,799578,Asia,,33803572,2024-03-28T13:30:03+00:00,,,125584838,595,,2024-03-28,269169,Japan,
211273524,22542,23302116,Europe,6054934,6081287,2024-03-28T13:30:03+00:00,,3811,9066710,2486,,2024-03-28,670727,Austria,
129333107,8814,22165247,Europe,3174942,3183756,2024-03-28T13:30:03+00:00,,0,5834950,1511,,2024-03-28,545636,Denmark,
19544451,25375,463523,Asia,2439497,2465545,2024-03-28T13:30:03+00:00,,673,42164965,602,,2024-03-28,58474,Iraq,
271490188,167642,4139547,Europe,39970918,40138560,2024-03-28T13:30:03+00:00,,0,65584518,2556,,2024-03-28,612013,France,
15804065,35934,307892,Asia,34535939,34571873,2024-03-28T13:30:03+00:00,,0,51329899,700,,2024-03-28,673523,S-Korea,
162743369,102174,1902052,Asia,,17232066,2024-03-28T13:30:03+00:00,,,85561976,1194,,2024-03-28,201399,Turkey,
41373364,12707,4436346,Asia,4798473,4841772,2024-03-28T13:30:03+00:00,,30592,9326000,1363,,2024-03-28,519169,Israel,
102228365,37869,9909078,Europe,,6101379,2024-03-28T13:30:03+00:00,,,10316637,3671,,2024-03-28,591412,Greece,
36102746,66864,320888,Asia,4067381,4140383,2024-03-28T13:30:03+00:00,,6138,112508994,594,+502,2024-03-28,36800,Philippines,
20013810,334958,152124,North-America,6899865,7702809,2024-03-28T13:30:03+00:00,,467986,131562772,2546,,2024-03-28,58549,Mexico,
39010194,222161,1158115,South-America,4350506,4572667,2024-03-28T13:30:03+00:00,,0,33684208,6595,,2024-03-28,135751,Peru,4
